democratic_house_seats,democratic_aligned_senate_seats,open_simulation_count,calibrated_probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
219,48,31,0.00275093,84.715,63.875
220,48,39,0.0031569,83.797,66.676
221,48,48,0.00324991,82.961,69.221
222,48,36,0.00350226,82.036,71.927
223,48,44,0.00380597,80.799,74.524
224,48,33,0.00301077,79.743,76.715
225,48,32,0.00205551,78.665,78.676
226,48,27,0.00187271,77.711,80.456
227,48,32,0.00244538,76.781,82.242
228,48,14,0.00106515,75.977,84.044
229,48,16,0.00127315,75.153,85.494
230,48,25,0.00228179,73.905,87.026
231,48,23,0.00211641,72.861,88.545
232,48,17,0.00164199,71.739,89.823
233,48,19,0.00168769,70.79,91.145
234,48,10,0.00078371,69.902,92.269
235,48,9,0.00079128,69.081,93.1
236,48,10,0.0006732,67.607,93.903
237,48,9,0.00066593,66.346,94.559
238,48,14,0.00121686,64.948,95.314
239,48,6,0.00039179,63.371,95.87
240,48,3,0.00013565,62.12,96.363
241,48,4,0.00079572,60.864,96.866
242,48,5,0.00021614,59.264,97.228
243,48,5,0.00043658,57.568,97.533
244,48,4,0.00043168,56.156,97.776
245,48,3,0.00028495,54.916,98.108
246,48,3,0.00014252,53.738,98.31
247,48,4,0.00017695,52.473,98.503
248,48,2,0.00012624,51.027,98.655
249,48,3,0.00024578,49.765,98.841
250,48,1,0.00001402,48.233,99.011
251,48,4,0.0001304,46.642,99.21
252,48,1,0.0000188,44.931,99.272
253,48,2,0.00005647,43.558,99.399
254,48,1,0.00001402,41.963,99.514
257,48,2,0.00006126,37.026,99.657
262,48,1,0.00001402,30.865,99.819
186,49,1,0.00002969,97.662,0.376
191,49,1,0.00006707,96.606,0.767
192,49,1,0.00002369,96.371,0.868
196,49,3,0.00007079,95.098,2.119
197,49,2,0.00003417,94.795,2.735
198,49,4,0.00011179,94.407,3.489
199,49,2,0.00008293,93.933,4.402
200,49,3,0.00007729,93.489,4.882
201,49,6,0.00012012,93.039,6.059
202,49,11,0.000341,92.602,7.191
203,49,13,0.0004703,92.069,8.003
204,49,14,0.00036736,91.557,9.193
205,49,16,0.00059993,90.923,10.288
206,49,17,0.00049555,90.207,11.506
207,49,15,0.00050964,89.593,13.307
208,49,18,0.0006397,88.996,15.343
209,49,28,0.00108389,88.203,17.305
210,49,37,0.00291718,87.449,19.708
211,49,32,0.00227556,86.656,22.218
212,49,40,0.00301021,85.9,24.501
213,49,34,0.00300882,85.003,27.287
214,49,56,0.00433994,84.172,30.408
215,49,48,0.00316321,83.282,33.542
216,49,37,0.00274468,82.348,36.242
217,49,58,0.00544606,81.262,38.796
218,49,49,0.00450811,80.119,42.421
219,49,49,0.00488771,79.012,45.799
220,49,45,0.0051252,78.061,49.033
221,49,47,0.00436027,77.122,52.339
222,49,43,0.00407603,76.234,55.683
223,49,38,0.00346824,75.39,58.629
224,49,49,0.00573397,74.305,61.807
225,49,31,0.00341452,73.138,64.227
226,49,35,0.00298767,71.97,67.015
227,49,52,0.00382146,71.065,69.606
228,49,34,0.00290011,70.086,72.247
229,49,23,0.00210884,69.226,74.85
230,49,28,0.0029003,67.785,77.014
231,49,16,0.00140574,66.449,78.879
232,49,29,0.00297874,65.158,80.731
233,49,22,0.00230308,63.506,82.543
234,49,15,0.00112418,62.183,84.187
235,49,24,0.00197273,61.002,85.745
236,49,20,0.00247787,59.399,87.358
237,49,21,0.00189864,57.685,88.778
238,49,20,0.00165422,56.26,90.066
239,49,19,0.00267159,55.063,91.427
240,49,17,0.00159245,53.824,92.391
241,49,16,0.00148185,52.556,93.217
242,49,5,0.0005247,51.059,93.968
243,49,8,0.0004889,49.802,94.651
244,49,5,0.00031843,48.249,95.428
245,49,4,0.00062902,46.686,95.927
246,49,8,0.00067531,44.965,96.497
247,49,5,0.00026073,43.579,96.955
248,49,1,0.00018145,41.985,97.282
249,49,3,0.00063009,40.324,97.589
250,49,3,0.00013154,38.632,97.808
251,49,6,0.00016328,37.049,98.175
252,49,5,0.00015962,35.73,98.365
253,49,1,0.00002037,34.42,98.515
255,49,3,0.00021057,31.869,98.864
256,49,3,0.0001119,30.917,99.091
257,49,1,0.0001035,29.719,99.221
258,49,3,0.00017257,28.703,99.291
259,49,2,0.0001447,27.528,99.421
261,49,3,0.0001116,25.394,99.55
262,49,1,0.00006142,24.4,99.597
263,49,2,0.00042657,23.202,99.684
264,49,1,0.00002731,22.23,99.743
265,49,1,0.0001021,20.824,99.765
271,49,1,0.00002037,13.963,99.884
272,49,2,0.00006616,13.427,99.893
274,49,1,0.00001499,12.098,99.91
278,49,1,0.00003373,9.989,99.924
189,50,1,0.00001372,95.428,0.216
194,50,2,0.00002744,93.494,0.491
196,50,1,0.00001372,92.622,0.664
198,50,4,0.00013547,91.582,0.903
200,50,2,0.00012935,90.238,1.324
201,50,2,0.00004564,89.621,1.698
202,50,5,0.00014882,89.036,2.13
203,50,4,0.00013698,88.264,2.864
204,50,5,0.00022427,87.606,3.506
205,50,9,0.00027202,86.783,4.42
206,50,19,0.00072048,86.087,5.027
207,50,13,0.00035495,85.171,6.082
